时间t	称重电压
380.0000	-0.00027178
380.2500	-0.00027180
380.5000	-0.00027183
380.7500	-0.00027187
381.0000	-0.00027188
381.2500	-0.00027171
381.5000	-0.00027181
381.7500	-0.00027170
382.0000	-0.00027176
382.2500	-0.00027175
382.5000	-0.00027182
382.7500	-0.00027178
383.0000	-0.00027180
383.2500	-0.00027173
383.5000	-0.00027183
383.7500	-0.00027172
384.0000	-0.00027183
384.2500	-0.00027171
384.5000	-0.00027176
384.7500	-0.00027173
385.0000	-0.00027183
385.2500	-0.00027182
385.5000	-0.00027180
385.7500	-0.00027177
386.0000	-0.00027173
386.2500	-0.00027179
386.5000	-0.00027168
386.7500	-0.00027179
387.0000	-0.00027182
387.2500	-0.00027179
387.5000	-0.00027185
387.7500	-0.00027176
388.0000	-0.00027175
388.2500	-0.00028443
388.5000	-0.00029417
388.7500	-0.00029176
389.0000	-0.00029172
389.2500	-0.00029162
389.5000	-0.00029173
389.7500	-0.00029172
390.0000	-0.00029168
390.2500	-0.00029172
390.5000	-0.00029169
390.7500	-0.00029172
391.0000	-0.00029185
391.2500	-0.00029168
391.5000	-0.00029175
391.7500	-0.00029168
392.0000	-0.00029179
392.2500	-0.00029172
392.5000	-0.00029176
392.7500	-0.00029174
393.0000	-0.00029173
393.2500	-0.00029168
393.5000	-0.00030614
393.7500	-0.00033965
394.0000	-0.00033471
394.2500	-0.00032600
394.5000	-0.00032456
394.7500	-0.00031095
395.0000	-0.00032817
395.2500	-0.00034437
395.5000	-0.00033187
395.7500	-0.00034191
396.0000	-0.00034159
396.2500	-0.00034124
396.5000	-0.00034177
396.7500	-0.00034141
397.0000	-0.00034155
397.2500	-0.00034171
397.5000	-0.00034145
397.7500	-0.00034162
398.0000	-0.00034153
398.2500	-0.00034150
398.5000	-0.00034163
398.7500	-0.00034150
399.0000	-0.00034300
399.2500	-0.00034194
399.5000	-0.00034149
399.7500	-0.00034187
400.0000	-0.00034143
400.2500	-0.00034181
400.5000	-0.00034144
400.7500	-0.00034162
401.0000	-0.00034164
401.2500	-0.00034158
401.5000	-0.00034161
401.7500	-0.00034148
402.0000	-0.00034164
402.2500	-0.00034154
402.5000	-0.00034161
402.7500	-0.00034150
403.0000	-0.00034155
403.2500	-0.00034156
403.5000	-0.00034144
403.7500	-0.00034165
404.0000	-0.00034146
404.2500	-0.00034174
404.5000	-0.00034126
404.7500	-0.00034158
405.0000	-0.00034145
405.2500	-0.00034161
405.5000	-0.00034165
405.7500	-0.00034157
406.0000	-0.00034140
406.2500	-0.00034157
406.5000	-0.00034174
406.7500	-0.00034158
407.0000	-0.00034154
407.2500	-0.00034157
407.5000	-0.00034154
407.7500	-0.00034155
408.0000	-0.00034165
408.2500	-0.00034157
408.5000	-0.00034159
408.7500	-0.00034158
409.0000	-0.00034154
409.2500	-0.00034150
409.5000	-0.00034158
409.7500	-0.00034152
410.0000	-0.00034150
410.2500	-0.00034158
410.5000	-0.00034164
410.7500	-0.00034157
411.0000	-0.00034153
411.2500	-0.00034165
411.5000	-0.00034147
411.7500	-0.00034154
412.0000	-0.00034156
412.2500	-0.00034149
412.5000	-0.00034169
412.7500	-0.00034178
413.0000	-0.00034136
413.2500	-0.00034158
413.5000	-0.00034161
413.7500	-0.00034157
414.0000	-0.00034159
414.2500	-0.00034149
414.5000	-0.00034151
414.7500	-0.00034156
415.0000	-0.00034167
415.2500	-0.00034163
415.5000	-0.00034146
415.7500	-0.00034159
416.0000	-0.00034157
416.2500	-0.00034150
416.5000	-0.00034161
416.7500	-0.00034165
417.0000	-0.00034154
417.2500	-0.00034148
417.5000	-0.00034154
417.7500	-0.00034164
418.0000	-0.00034150
418.2500	-0.00034160
418.5000	-0.00034156
418.7500	-0.00034167
419.0000	-0.00034163
419.2500	-0.00034150
419.5000	-0.00034165
419.7500	-0.00034151
420.0000	-0.00034161
420.2500	-0.00034149
420.5000	-0.00034163
420.7500	-0.00034149
421.0000	-0.00034160
421.2500	-0.00034159
421.5000	-0.00034149
421.7500	-0.00034156
422.0000	-0.00034162
422.2500	-0.00034151
422.5000	-0.00034161
422.7500	-0.00034156
423.0000	-0.00034155
423.2500	-0.00034152
423.5000	-0.00034151
423.7500	-0.00034149
424.0000	-0.00034160
424.2500	-0.00034157
424.5000	-0.00034161
424.7500	-0.00034162
425.0000	-0.00034160
425.2500	-0.00034160
425.5000	-0.00034147
425.7500	-0.00034161
426.0000	-0.00034155
426.2500	-0.00034164
426.5000	-0.00034150
426.7500	-0.00034156
427.0000	-0.00034169
427.2500	-0.00034161
427.5000	-0.00034165
427.7500	-0.00034155
