Time	Voltage
244.2500	0.00035083
244.5000	0.00035086
244.7500	0.00035081
245.0000	0.00035080
245.2500	0.00035088
245.5000	0.00035083
245.7500	0.00035075
246.0000	0.00035079
246.2500	0.00035086
246.5000	0.00035089
246.7500	0.00035091
247.0000	0.00035084
247.2500	0.00035091
247.5000	0.00035090
247.7500	0.00035082
248.0000	0.00035077
248.2500	0.00035083
248.5000	0.00035075
248.7500	0.00035079
249.0000	0.00035078
249.2500	0.00035074
249.5000	0.00035068
249.7500	0.00035070
250.0000	0.00035079
250.2500	0.00035067
250.5000	0.00035070
250.7500	0.00035066
251.0000	0.00035065
251.2500	0.00035075
251.5000	0.00035061
251.7500	0.00035083
252.0000	0.00035063
252.2500	0.00035079
252.5000	0.00035079
252.7500	0.00035077
253.0000	0.00035078
253.2500	0.00035074
253.5000	0.00035071
253.7500	0.00035076
254.0000	0.00035059
254.2500	0.00035053
254.5000	0.00035059
254.7500	0.00035054
255.0000	0.00035066
255.2500	0.00035058
255.5000	0.00035070
255.7500	0.00035074
256.0000	0.00035061
256.2500	0.00035055
256.5000	0.00035064
256.7500	0.00035049
257.0000	0.00035058
257.2500	0.00035073
257.5000	0.00035050
257.7500	0.00035057
258.0000	0.00035058
258.2500	0.00035063
258.5000	0.00035054
258.7500	0.00035057
259.0000	0.00035061
259.2500	0.00035049
259.5000	0.00035051
259.7500	0.00035058
260.0000	0.00035048
260.2500	0.00035060
260.5000	0.00035063
260.7500	0.00035045
261.0000	0.00035048
261.2500	0.00035053
261.5000	0.00035051
261.7500	0.00035050
262.0000	0.00035079
262.2500	0.00035040
262.5000	0.00035012
262.7500	0.00035054
263.0000	0.00035048
263.2500	0.00035048
263.5000	0.00035041
263.7500	0.00035052
264.0000	0.00035042
264.2500	0.00035043
264.5000	0.00035042
264.7500	0.00035043
265.0000	0.00035043
265.2500	0.00035035
265.5000	0.00035037
265.7500	0.00035038
266.0000	0.00035034
266.2500	0.00035043
266.5000	0.00035040
266.7500	0.00035017
267.0000	0.00035037
267.2500	0.00035028
267.5000	0.00035042
267.7500	0.00035030
268.0000	0.00035034
268.2500	0.00035037
268.5000	0.00035028
268.7500	0.00035040
269.0000	0.00035021
269.2500	0.00035021
269.5000	0.00035030
269.7500	0.00035031
270.0000	0.00035030
270.2500	0.00035027
270.5000	0.00035029
270.7500	0.00035034
271.0000	0.00035020
271.2500	0.00035032
271.5000	0.00035030
271.7500	0.00035021
272.0000	0.00035031
272.2500	0.00035030
272.5000	0.00035023
272.7500	0.00035017
273.0000	0.00034704
273.2500	0.00033591
273.5000	0.00033442
273.7500	0.00033353
274.0000	0.00033346
274.2500	0.00033354
274.5000	0.00033367
274.7500	0.00033357
275.0000	0.00033366
275.2500	0.00033344
275.5000	0.00033344
275.7500	0.00033347
276.0000	0.00033335
276.2500	0.00033345
276.5000	0.00033335
276.7500	0.00033343
277.0000	0.00033329
277.2500	0.00033338
277.5000	0.00033336
277.7500	0.00033342
278.0000	0.00033344
278.2500	0.00033341
278.5000	0.00033336
278.7500	0.00033338
279.0000	0.00033341
279.2500	0.00033345
279.5000	0.00033337
279.7500	0.00033341
280.0000	0.00033340
280.2500	0.00033345
280.5000	0.00033335
280.7500	0.00033345
281.0000	0.00033333
281.2500	0.00033345
281.5000	0.00033337
281.7500	0.00033334
282.0000	0.00033337
282.2500	0.00033338
282.5000	0.00033331
282.7500	0.00033328
283.0000	0.00033337
283.2500	0.00033329
283.5000	0.00033338
283.7500	0.00033319
284.0000	0.00033350
284.2500	0.00033321
284.5000	0.00033339
284.7500	0.00033339
285.0000	0.00033334
285.2500	0.00033321
285.5000	0.00033335
285.7500	0.00033331
286.0000	0.00033330
286.2500	0.00033325
286.5000	0.00033328
286.7500	0.00033327
287.0000	0.00033333
287.2500	0.00033312
287.5000	0.00033322
287.7500	0.00033325
288.0000	0.00033315
288.2500	0.00033312
288.5000	0.00033327
288.7500	0.00033310
289.0000	0.00033332
289.2500	0.00033311
289.5000	0.00033318
289.7500	0.00033318
290.0000	0.00033313
290.2500	0.00033307
290.5000	0.00033316
290.7500	0.00033315
291.0000	0.00033318
291.2500	0.00033323
291.5000	0.00033309
291.7500	0.00033319
292.0000	0.00033310
292.2500	0.00033316
292.5000	0.00033303
292.7500	0.00033320
293.0000	0.00033312
293.2500	0.00033320
293.5000	0.00033300
293.7500	0.00033304
294.0000	0.00033318
294.2500	0.00033303
294.5000	0.00033313
294.7500	0.00033307
